Nom_Commercial,DCI,Dosage,Prix_DZD
PLANADIX EXTRA,"PARACETAMOL /
CAFEINE",500MG/65MG,0.0
PACET EXTRA,"PARACETAMOL /
CAFEINE",500MG/65MG,0.0
PARALGAN,PARACETAMOL,160MG,0.0
ALGIMOL,PARACETAMOL,170MG,0.0
PARALGAN,PARACETAMOL,170MG,0.0
SUPPFADOL 170,PARACETAMOL,170MG,0.0
NOFEB,PARACETAMOL / CHLORPHENAMINE MALEATE / ACIDE ASCORBIQUE,"240MG/3,2MG/1
00MG",0.0
SUPPFADOL,PARACETAMOL,80MG,0.0
PARALGAN,PARACETAMOL,80MG,0.0
PARALGAN,PARACETAMOL,600MG,0.0
PARAMOL EXTRA,"PARACETAMOL/
CAFEINE ANHYDRE",500MG/50MG,0.0
"MIGRAMOL
PEDIATRIQUE",PARACETAMOL,"120MG/5ML
(2,4G/100ML)",0.0
PARALGAN,PARACETAMOL,120MG/5ML,0.0
"DOLIPRANE 2,4%",PARACETAMOL,120MG/5ML,0.0
EFFERALGAN VITAMINE C,PARACETAMOL / ACIDE ASCORBIQUE,500MG/200MG,0.0
SKENAN LP,Morphine sulfate,10MG,0.0
SKENAN LP,Morphine sulfate,30MG,0.0
SKENAN LP,Morphine sulfate,60MG,0.0
SKENAN LP,Morphine sulfate,100MG,0.0
"PARACETAMOL
PHYSIOPHARM",PARACETAMOL,1000MG,0.0
BUPRINAL,BUPRENORPHINE CHLORHYDRATE EXPRIME EN BUPRENORPHINE,"0,3MG/ML",0.0
"TRAMADOL
BEKER","TRAMADOL
CHLORHYDRATE",50MG,0.0
ZODID,"TRAMADOL CHLORHYDRATE
EXPRIME EN TRAMADOL",50MG,0.0
SUPRAMADOL,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,50MG,0.0
TRAMADIS,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,50MG,0.0
TRAMEX,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,50MG,0.0
TRAMAL,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,50MG,0.0
TRAMADOL NOVAGENERICS,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,50MG,0.0
DUOFEM,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,50MG,0.0
DOLTRAM,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,50MG,0.0
TRAMADOL SANDOZ,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,50MG,0.0
DOLEX,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,50MG,0.0
TRAMADOL LS,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,50MG,0.0
TRAMADOL LS,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,100MG,0.0
TRAMADINE,CHLORHYDRATE DE TRAMADOL,100MG,0.0
ATEPADENE,Adénosine triphosphate,30MG,0.0
ATP NOVAGENERICS,"Adénosine triphosphate disodique trihydraté exprimé en adénosine
triphosphate disodique",30MG,0.0
"TRAMADOL
BEKER LP","TRAMADOL
CHLORHYDRATE",100MG,0.0
DOLTRAM,"TRAMADOL
CHLORHYDRATE",100MG,0.0
DOLTRAM,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,150MG,0.0
DOLTRAM,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,200MG,0.0
TRAMGESIC,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,50MG/ML (100MG/2ML),0.0
TRAMADIS,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,50MG/ML (100MG/2ML),0.0
SUPRAMADOL,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,50MG/ML,0.0
XALDOL,Paracétamol/ Tramadol chlorhydrate,"325MG / 37,5MG",0.0
DOLOKIL,Paracétamol/ Tramadol chlorhydrate,"325MG / 37,5MG",0.0
PRADOL,Paracétamol/ Tramadol chlorhydrate,"325MG / 37,5MG",0.0
XAMADOL,Paracétamol/ Tramadol chlorhydrate,"325MG / 37,5MG",0.0
SUPRADOLEX,Paracétamol/ Tramadol chlorhydrate,"325MG / 37,5MG",0.0
DI-DOLEX,Paracétamol/ Tramadol chlorhydrate,"325MG / 37,5MG",0.0
CETADOL,Paracétamol/ Tramadol chlorhydrate,"325MG / 37,5MG",0.0
TRAMADOL PLUS,Paracétamol/ Tramadol chlorhydrate,"325MG / 37,5MG",0.0
TRAPAL,Paracétamol/ Tramadol chlorhydrate,"325MG / 37,5MG",0.0
EXTRAMADOL,Paracétamol/ Tramadol chlorhydrate,"325MG / 37,5MG",0.0
PLANADIX ADVANCE,Paracétamol/ Tramadol chlorhydrate,"325MG / 37,5MG",0.0
DOLMATOL,Paracétamol/ Tramadol chlorhydrate,"325MG / 37,5MG",0.0
DUROGESIC 25µG/HEURE,FENTANYL,25µG/HEURE,0.0
DUROGESIC 50µG/HEURE,FENTANYL,50µG/HEURE,0.0
DUROGESIC 75µG/HEURE,FENTANYL,75µG/HEURE,0.0
DUROGESIC 100µG/HEURE,FENTANYL,100µG/HEURE,0.0
DUROGESIC 12µG/HEURE,FENTANYL,12µG/HEURE,0.0
ACUPAN,NEFOPAM CHLORHYDRATE,"10MG/ML (OU
20MG/2ML)",0.0
ENANTUM,DEXKéTOPROFéNE(TRO MéTAMOL),25 MG,0.0
DICLAMID,Diclofénac sodique,25MG/ML (75MG/3ML),0.0
VOLTAFENE,Diclofénac sodique,"25MG/ML
(75MG/3ML)",0.0
CLOFENAL,Diclofénac sodique,"25MG/ML
(75MG/3ML)",0.0
VOLTUM,Diclofénac sodique,25MG,0.0
FLOVENAC,Diclofénac sodique,50MG,0.0
GEOFENAC,Diclofénac sodique,50MG,0.0
